step,loss,acc,alpha_xy,alpha_z
100,0.057872,0.953125,0.021099,0.021721
200,0.036346,0.984375,0.000208,0.000222
300,0.030288,0.984375,0.003953,0.004122
400,0.029831,0.984375,0.004759,0.004860
500,0.009731,1.000000,0.002596,0.002640
600,0.001683,1.000000,0.001634,0.001642
700,0.042369,0.968750,0.006913,0.006931
800,0.000000,1.000000,0.000000,0.000000
900,0.002495,1.000000,0.002870,0.002877
1000,0.005468,1.000000,0.001906,0.001921
1100,0.004196,1.000000,0.002301,0.002311
1200,0.001340,1.000000,0.000372,0.000376
1300,0.029892,1.000000,0.006771,0.006768
1400,0.003060,1.000000,0.000049,0.000051
1500,0.028750,0.984375,0.001694,0.001707
1600,0.065029,0.984375,0.000710,0.000705
1700,0.002179,1.000000,0.004112,0.004114
1800,0.100251,0.984375,0.003392,0.003392
1900,0.000633,1.000000,0.003394,0.003409
2000,0.018643,0.984375,0.003906,0.003924
